Column,Data_Type
mcrh_KAMA_10_EMA_20,int64
mcrh_KAMA_10_KAMA_20,int64
mcrh_KAMA_10_SMA_20,int64
mcrh_KAMA_10_T3_20,int64
mcrh_KAMA_10_TEMA_20,int64
mcrh_KAMA_10_TRIMA_20,int64
mcrh_KAMA_10_WMA_20,int64
mcrh_KAMA_10_DEMA_50,int64
mcrh_KAMA_10_EMA_50,int64
mcrh_KAMA_10_KAMA_50,int64
mcrh_KAMA_10_SMA_50,int64
mcrh_KAMA_10_T3_50,int64
mcrh_KAMA_10_TEMA_50,int64
mcrh_KAMA_10_TRIMA_50,int64
mcrh_KAMA_10_WMA_50,int64
mcrh_KAMA_10_DEMA_100,int64
mcrh_KAMA_10_EMA_100,int64
mcrh_KAMA_10_KAMA_100,int64
mcrh_KAMA_10_SMA_100,int64
mcrh_KAMA_10_T3_100,int64
mcrh_KAMA_10_TEMA_100,int64
mcrh_KAMA_10_TRIMA_100,int64
mcrh_KAMA_10_WMA_100,int64
mcrh_KAMA_10_ti_h20,int64
mcrh_SMA_10_DEMA_20,int64
mcrh_SMA_10_EMA_20,int64
mcrh_SMA_10_KAMA_20,int64
mcrh_SMA_10_SMA_20,int64
mcrh_SMA_10_T3_20,int64
mcrh_SMA_10_TEMA_20,int64
mcrh_SMA_10_TRIMA_20,int64
mcrh_SMA_10_WMA_20,int64
mcrh_SMA_10_DEMA_50,int64
mcrh_SMA_10_EMA_50,int64
mcrh_SMA_10_KAMA_50,int64
mcrh_SMA_10_SMA_50,int64
mcrh_SMA_10_T3_50,int64
mcrh_SMA_10_TEMA_50,int64
mcrh_SMA_10_TRIMA_50,int64
mcrh_SMA_10_WMA_50,int64
mcrh_SMA_10_DEMA_100,int64
mcrh_SMA_10_EMA_100,int64
mcrh_SMA_10_KAMA_100,int64
mcrh_SMA_10_SMA_100,int64
mcrh_SMA_10_T3_100,int64
mcrh_SMA_10_TEMA_100,int64
mcrh_SMA_10_TRIMA_100,int64
mcrh_SMA_10_WMA_100,int64
mcrh_SMA_10_ti_h20,int64
mcrh_T3_10_DEMA_20,int64
mcrh_T3_10_EMA_20,int64
mcrh_T3_10_KAMA_20,int64
mcrh_T3_10_SMA_20,int64
mcrh_T3_10_T3_20,int64
mcrh_T3_10_TEMA_20,int64
mcrh_T3_10_TRIMA_20,int64
mcrh_T3_10_WMA_20,int64
mcrh_T3_10_DEMA_50,int64
mcrh_T3_10_EMA_50,int64
mcrh_T3_10_KAMA_50,int64
mcrh_T3_10_SMA_50,int64
mcrh_T3_10_T3_50,int64
mcrh_T3_10_TEMA_50,int64
mcrh_T3_10_TRIMA_50,int64
mcrh_T3_10_WMA_50,int64
mcrh_T3_10_DEMA_100,int64
mcrh_T3_10_EMA_100,int64
mcrh_T3_10_KAMA_100,int64
mcrh_T3_10_SMA_100,int64
mcrh_T3_10_T3_100,int64
mcrh_T3_10_TEMA_100,int64
mcrh_T3_10_TRIMA_100,int64
mcrh_T3_10_WMA_100,int64
mcrh_T3_10_ti_h20,int64
mcrh_TEMA_10_DEMA_20,int64
mcrh_TEMA_10_EMA_20,int64
mcrh_TEMA_10_KAMA_20,int64
mcrh_TEMA_10_SMA_20,int64
mcrh_TEMA_10_T3_20,int64
mcrh_TEMA_10_TEMA_20,int64
mcrh_TEMA_10_TRIMA_20,int64
mcrh_TEMA_10_WMA_20,int64
mcrh_TEMA_10_DEMA_50,int64
mcrh_TEMA_10_EMA_50,int64
mcrh_TEMA_10_KAMA_50,int64
mcrh_TEMA_10_SMA_50,int64
mcrh_TEMA_10_T3_50,int64
mcrh_TEMA_10_TEMA_50,int64
mcrh_TEMA_10_TRIMA_50,int64
mcrh_TEMA_10_WMA_50,int64
mcrh_TEMA_10_DEMA_100,int64
mcrh_TEMA_10_EMA_100,int64
mcrh_TEMA_10_KAMA_100,int64
mcrh_TEMA_10_SMA_100,int64
