	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_pos_reg4__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.7	10.14	10.91	13.25	15.94	18.18	23.81	26.32	27.78	30.3	32.26	32.14	33.33	36.36	35.0	35.29	42.86	27.27	22.22	33.33	-1.0
TFm_UBER_pos_reg4_mult_linear	75.0	0.53	30.0	25.1	19.0	276.0	0.7954	0.1998	0.0001	0.7343	0.8569	0.8832	0.9024	0.9208	0.9325	0.9465	0.9491	0.951	0.9526	0.9554	0.9566	0.9632	0.9636	0.9671	0.9722	0.9756	0.9797	0.9824	0.9835	0.9999
TFm_UBER_pos_reg4_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.73	8.76	9.01	10.84	12.86	16.07	16.67	17.95	19.44	20.59	22.58	25.0	28.0	29.17	25.0	23.53	28.57	27.27	33.33	50.0	-1.0
TFm_UBER_pos_reg4_mult_lstm	91.97	0.2	13.0	25.0	19.0	276.0	0.4563	0.3348	0.0	0.0633	0.5352	0.6512	0.7044	0.7439	0.7893	0.8185	0.8285	0.8323	0.8426	0.8462	0.8655	0.8747	0.8845	0.9173	0.9209	0.9272	0.9359	0.9483	0.9602	0.9972
TFm_UBER_pos_reg4_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.7	12.32	13.51	15.66	18.84	21.82	26.19	28.21	25.0	21.21	22.58	25.0	24.0	27.27	30.0	29.41	35.71	36.36	44.44	66.67	-1.0
TFm_UBER_pos_reg4__mult_gru	88.77	0.28	9.0	24.7	19.0	276.0	0.7097	0.1573	0.2411	0.608	0.7397	0.7885	0.8229	0.8349	0.8561	0.8713	0.8718	0.8725	0.8745	0.8775	0.8808	0.8875	0.8903	0.893	0.8994	0.9082	0.9119	0.9144	0.9276	0.9506
TFm_UBER_pos_reg4__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.7	10.14	12.61	14.46	17.39	16.07	21.43	20.51	22.22	20.59	22.58	25.0	24.0	26.09	30.0	29.41	35.71	36.36	44.44	50.0	-1.0
TFm_UBER_pos_low1_mult_28	88.8	0.28	16.0	28.2	18.0	265.0	0.4638	0.2514	0.0212	0.259	0.4253	0.5173	0.6049	0.636	0.7102	0.7702	0.7839	0.7991	0.8213	0.8312	0.8356	0.8505	0.859	0.8686	0.8849	0.9172	0.941	0.955	0.9614	0.9999
TFm_UBER_pos_low1_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.04	11.28	13.21	15.0	16.67	20.75	25.0	27.03	28.57	25.0	26.67	29.63	29.17	27.27	31.58	37.5	42.86	45.45	62.5	50.0	-1.0
TFm_UBER_pos_low1_mult_64	92.28	0.2	12.0	28.2	18.0	265.0	0.461	0.2827	0.0183	0.213	0.4396	0.5264	0.6408	0.7055	0.7473	0.8256	0.8308	0.8355	0.8385	0.8482	0.8655	0.8832	0.8892	0.9016	0.9124	0.9441	0.9542	0.9653	0.9747	1.0
TFm_UBER_pos_low1_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	9.05	10.53	12.26	13.75	16.42	18.87	17.5	18.92	20.0	21.88	23.33	25.93	29.17	31.82	36.84	43.75	42.86	45.45	50.0	50.0	-1.0
TFm_UBER_pos_low1_mult_128	94.54	0.15	9.0	29.2	18.0	265.0	0.5103	0.2568	0.0386	0.2856	0.489	0.5902	0.6822	0.715	0.7629	0.8188	0.8299	0.8496	0.8644	0.8757	0.8772	0.888	0.8915	0.8985	0.9031	0.926	0.9319	0.9422	0.9587	0.9996
TFm_UBER_pos_low1_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.54	9.09	10.38	13.92	15.15	18.87	20.0	21.62	22.86	25.0	26.67	25.93	29.17	31.82	36.84	37.5	35.71	36.36	37.5	50.0	-1.0
TFm_UBER_pos_low1_mult_conv	92.35	0.19	8.0	29.0	18.0	265.0	0.8744	0.0554	0.7127	0.8449	0.8758	0.8888	0.904	0.9097	0.9205	0.931	0.9334	0.9359	0.9385	0.9401	0.944	0.9472	0.9509	0.9526	0.9543	0.9562	0.9597	0.9717	0.9784	0.9968
TFm_UBER_pos_low1_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.59	9.85	11.32	11.25	12.12	15.09	20.0	21.62	23.53	25.0	26.67	29.63	29.17	31.82	31.58	37.5	42.86	54.55	50.0	66.67	-1.0
